Document_ID,prompt_id,label
AR_gpt-4o_8_16_309,16,1
AR_gpt-4o_8_16_309,7,-1
AR_gpt-4o_8_16_309,58,0
AR_gpt-4o_2_3_46,3,1
AR_gpt-4o_2_3_46,17,-1
AR_gpt-4o_2_3_46,32,0
AR_gpt-4o_9_47_921,47,1
AR_gpt-4o_9_47_921,142,-1
AR_gpt-4o_9_47_921,37,0
AR_gpt-4o_19_156_3110,156,1
AR_gpt-4o_19_156_3110,157,-1
AR_gpt-4o_19_156_3110,157,0
AR_gpt-4o_11_23_441,23,1
AR_gpt-4o_11_23_441,2,-1
AR_gpt-4o_11_23_441,94,0
AR_gpt-4o_8_16_307,16,1
AR_gpt-4o_8_16_307,79,-1
AR_gpt-4o_8_16_307,121,0
AR_gpt-4o_8_17_325,17,1
AR_gpt-4o_8_17_325,88,-1
AR_gpt-4o_8_17_325,50,0
AR_gpt-4o_2_3_44,3,1
AR_gpt-4o_2_3_44,154,-1
AR_gpt-4o_2_3_44,32,0
AR_gpt-4o_15_27_529,27,1
AR_gpt-4o_15_27_529,97,-1
AR_gpt-4o_15_27_529,115,0
AR_gpt-4o_9_37_729,37,1
AR_gpt-4o_9_37_729,4,-1
AR_gpt-4o_9_37_729,145,0
AR_gpt-4o_4_8_147,8,1
AR_gpt-4o_4_8_147,94,-1
AR_gpt-4o_4_8_147,66,0
AR_gpt-4o_18_153_3046,153,1
AR_gpt-4o_18_153_3046,105,-1
AR_gpt-4o_18_153_3046,154,0
AR_gpt-4o_17_45_887,45,1
AR_gpt-4o_17_45_887,151,-1
AR_gpt-4o_17_45_887,44,0
AR_gpt-4o_17_46_907,46,1
AR_gpt-4o_17_46_907,134,-1
AR_gpt-4o_17_46_907,76,0
AR_gpt-4o_8_16_304,16,1
AR_gpt-4o_8_16_304,160,-1
AR_gpt-4o_8_16_304,17,0
AR_gpt-4o_4_7_124,7,1
AR_gpt-4o_4_7_124,53,-1
AR_gpt-4o_4_7_124,141,0
AR_gpt-4o_18_153_3050,153,1
AR_gpt-4o_18_153_3050,91,-1
AR_gpt-4o_18_153_3050,155,0
AR_gpt-4o_2_32_623,32,1
AR_gpt-4o_2_32_623,156,-1
AR_gpt-4o_2_32_623,144,0
AR_gpt-4o_16_34_664,34,1
AR_gpt-4o_16_34_664,5,-1
AR_gpt-4o_16_34_664,83,0
AR_gpt-4o_8_17_323,17,1
AR_gpt-4o_8_17_323,29,-1
AR_gpt-4o_8_17_323,50,0
AR_gpt-4o_6_12_224,12,1
AR_gpt-4o_6_12_224,67,-1
AR_gpt-4o_6_12_224,70,0
AR_gpt-4o_3_33_648,33,1
